epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,185.466,1.56714,1.25172,1.17544,0.67326,0.25579,0.2676,0.1293,2.2721,2.51663,1.51788,0.000584578,0.000584578,0.000584578
43,189.851,1.51341,1.2568,1.17827,0.61043,0.2919,0.31857,0.14973,2.11567,2.41528,1.49318,0.000570944,0.000570944,0.000570944
44,194.307,1.4996,1.20296,1.16129,0.71971,0.23702,0.29216,0.14155,2.03605,2.48623,1.45763,0.0005572,0.0005572,0.0005572
45,198.613,1.4798,1.20513,1.15744,0.79551,0.29153,0.32614,0.14768,2.03386,2.41061,1.48503,0.000543358,0.000543358,0.000543358
46,203.005,1.46492,1.16963,1.14202,0.7146,0.28201,0.33619,0.15206,2.00343,2.35869,1.52344,0.000529433,0.000529433,0.000529433
47,207.267,1.47924,1.15466,1.14234,0.73459,0.27556,0.30167,0.1429,2.08881,2.44501,1.45357,0.000515439,0.000515439,0.000515439
48,211.509,1.4798,1.17214,1.15468,0.6449,0.27733,0.31552,0.15997,1.93879,2.33912,1.38279,0.00050139,0.00050139,0.00050139
49,215.884,1.4663,1.18094,1.14273,0.63849,0.3123,0.30586,0.1412,1.96753,2.43333,1.4444,0.000487298,0.000487298,0.000487298
50,220.213,1.4763,1.20832,1.15873,0.59771,0.27747,0.2929,0.13687,1.99886,2.33842,1.42704,0.000473178,0.000473178,0.000473178
51,224.555,1.47574,1.14427,1.12951,0.70299,0.284,0.30179,0.14642,1.99079,2.429,1.41616,0.000459045,0.000459045,0.000459045
52,228.931,1.42772,1.10468,1.12301,0.6867,0.27777,0.33525,0.15885,2.03185,2.34775,1.40938,0.000444912,0.000444912,0.000444912
53,233.334,1.44346,1.14104,1.13173,0.69274,0.26614,0.27641,0.12696,2.06911,2.39257,1.39685,0.000430792,0.000430792,0.000430792
54,237.722,1.43184,1.15102,1.1305,0.69279,0.27905,0.31703,0.14899,1.98034,2.36465,1.42973,0.0004167,0.0004167,0.0004167
55,242.101,1.45329,1.14382,1.13671,0.65444,0.28525,0.33177,0.15673,2.06361,2.40014,1.42231,0.000402651,0.000402651,0.000402651
56,246.444,1.45428,1.12579,1.12671,0.56962,0.32575,0.32979,0.14515,2.05982,2.37348,1.44346,0.000388657,0.000388657,0.000388657
57,250.791,1.40567,1.07619,1.11632,0.87144,0.28369,0.34661,0.15101,2.00915,2.3527,1.47365,0.000374732,0.000374732,0.000374732
58,255.095,1.39594,1.09794,1.11824,0.7241,0.3242,0.35285,0.16445,1.99168,2.27084,1.4283,0.00036089,0.00036089,0.00036089
59,259.389,1.40307,1.08086,1.1115,0.70622,0.32913,0.35563,0.17272,1.9768,2.3141,1.4069,0.000347146,0.000347146,0.000347146
60,263.708,1.37971,1.07861,1.10648,0.71138,0.3275,0.3686,0.18229,1.92172,2.28855,1.37954,0.000333512,0.000333512,0.000333512
61,268.036,1.38182,1.07217,1.11514,0.58821,0.31691,0.28828,0.12936,2.06059,2.4429,1.42833,0.000320001,0.000320001,0.000320001
62,272.324,1.41449,1.06362,1.1026,0.43989,0.26469,0.27258,0.11443,2.17171,2.55172,1.44632,0.000306628,0.000306628,0.000306628
63,276.61,1.41218,1.07905,1.10752,0.63932,0.28799,0.30793,0.14473,2.02273,2.33987,1.4204,0.000293406,0.000293406,0.000293406
64,280.916,1.38094,1.08361,1.10592,0.77003,0.23889,0.28443,0.11554,2.15226,2.38022,1.42427,0.000280346,0.000280346,0.000280346
65,285.215,1.32902,1.01226,1.0802,0.63517,0.26925,0.3186,0.14891,1.94456,2.24988,1.38182,0.000267463,0.000267463,0.000267463
66,289.572,1.3785,1.04439,1.1008,0.56096,0.31569,0.3186,0.14589,2.04337,2.2597,1.40718,0.00025477,0.00025477,0.00025477
67,293.906,1.35657,1.0534,1.10484,0.73884,0.27966,0.2937,0.1329,2.12302,2.3106,1.42371,0.000242278,0.000242278,0.000242278
68,298.24,1.32858,1.01426,1.09517,0.58399,0.30937,0.3044,0.15137,2.21181,2.37182,1.43607,0.000229999,0.000229999,0.000229999
