epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.08376,3.1155,4.76572,2.13304,0.00743,0.05354,0.00344,0.00109,2.81023,11.1471,1.80426,0.00025452,0.00025452,0.00025452
2,10.9735,2.34343,3.12376,1.61543,0.16211,0.05216,0.00822,0.00294,2.79168,12.286,1.87236,0.000518003,0.000518003,0.000518003
3,15.7355,2.17252,2.64005,1.51429,0.16277,0.083,0.00841,0.00291,2.8521,33.9763,1.85286,0.000780976,0.000780976,0.000780976
4,20.8751,2.10907,2.38594,1.47708,0.10739,0.07522,0.05646,0.01466,3.0836,3.65009,1.98676,0.000907003,0.000907003,0.000907003
5,25.9172,2.02639,2.27038,1.45305,0.12937,0.09391,0.05777,0.02093,2.67909,3.97008,1.76377,0.000905452,0.000905452,0.000905452
6,30.513,2.00414,2.13574,1.42925,0.39733,0.1271,0.11467,0.05484,2.58883,3.10845,1.74329,0.00090346,0.00090346,0.00090346
7,35.3155,1.95267,1.98834,1.39011,0.24699,0.14722,0.11688,0.04848,2.52707,3.07554,1.65638,0.00090103,0.00090103,0.00090103
8,39.6809,1.91405,1.94082,1.36784,0.39154,0.15592,0.14294,0.05358,2.56755,3.1527,1.77821,0.000898164,0.000898164,0.000898164
9,43.9763,1.9169,1.90467,1.36611,0.3785,0.1612,0.14864,0.04825,2.74295,3.17274,1.78504,0.000894864,0.000894864,0.000894864
10,48.293,1.85736,1.8065,1.31672,0.467,0.2171,0.16658,0.0652,2.5565,3.00874,1.66573,0.000891134,0.000891134,0.000891134
11,52.6789,1.85491,1.7581,1.31976,0.48003,0.22984,0.21355,0.0766,2.35762,2.89495,1.57905,0.000886978,0.000886978,0.000886978
12,57.001,1.81131,1.73426,1.29867,0.28722,0.17319,0.14477,0.05536,2.39757,3.09122,1.64687,0.000882399,0.000882399,0.000882399
13,61.2376,1.80596,1.68146,1.29636,0.54695,0.20554,0.19453,0.0821,2.40458,2.94968,1.6181,0.000877403,0.000877403,0.000877403
14,65.5251,1.81749,1.72218,1.30071,0.51552,0.2402,0.23047,0.10195,2.30112,2.79698,1.5771,0.000871993,0.000871993,0.000871993
15,69.8287,1.77471,1.67216,1.30837,0.61951,0.20227,0.1828,0.06934,2.33946,2.89231,1.5326,0.000866176,0.000866176,0.000866176
16,74.07,1.76313,1.59531,1.26947,0.62271,0.16558,0.17929,0.07999,2.21559,2.86762,1.5309,0.000859958,0.000859958,0.000859958
17,78.3414,1.70539,1.54692,1.27387,0.58119,0.2153,0.22399,0.10142,2.16136,2.79263,1.5737,0.000853344,0.000853344,0.000853344
18,82.6467,1.71878,1.54975,1.27549,0.66277,0.19895,0.22881,0.09075,2.43366,2.75991,1.53159,0.00084634,0.00084634,0.00084634
19,86.9203,1.71964,1.57605,1.28304,0.60114,0.2,0.19051,0.08328,2.1813,2.76393,1.58372,0.000838955,0.000838955,0.000838955
20,91.3153,1.70104,1.55474,1.25665,0.59369,0.25133,0.24202,0.10983,2.23052,2.81642,1.5331,0.000831194,0.000831194,0.000831194
21,95.6305,1.67385,1.4649,1.22911,0.48578,0.25439,0.19165,0.09234,2.078,2.94674,1.50684,0.000823066,0.000823066,0.000823066
22,99.8918,1.69256,1.4934,1.24916,0.43113,0.22789,0.2146,0.09831,2.21086,2.85327,1.56551,0.000814579,0.000814579,0.000814579
