epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,61.4609,1.50596,1.68453,1.04421,0.89576,0.18622,0.26246,0.12718,1.89764,2.85383,1.28585,0.000584578,0.000584578,0.000584578
43,62.8352,1.50903,1.69885,1.0795,0.80506,0.21337,0.23651,0.11749,1.82899,2.98845,1.28587,0.000570944,0.000570944,0.000570944
44,64.1709,1.4058,1.59305,1.05933,0.40886,0.22157,0.25003,0.12804,1.77301,2.61199,1.24282,0.0005572,0.0005572,0.0005572
45,65.4569,1.4959,1.64771,1.07635,0.35679,0.32032,0.24983,0.13137,1.80893,2.51176,1.2371,0.000543358,0.000543358,0.000543358
46,66.8392,1.43465,1.60471,1.03059,0.24692,0.2971,0.27515,0.15494,1.73917,2.4002,1.2293,0.000529433,0.000529433,0.000529433
47,68.1754,1.45452,1.55429,1.05631,0.26859,0.30761,0.28012,0.15208,1.769,2.43633,1.22241,0.000515439,0.000515439,0.000515439
48,69.4821,1.42914,1.57656,1.0503,0.32577,0.20702,0.2825,0.14933,1.85792,2.36702,1.19257,0.00050139,0.00050139,0.00050139
49,70.7531,1.37466,1.46186,1.04301,0.40463,0.22254,0.30346,0.15607,1.89835,2.37632,1.20478,0.000487298,0.000487298,0.000487298
50,72.0859,1.39813,1.48441,1.05204,0.59484,0.22028,0.27439,0.14858,1.89136,2.36101,1.20573,0.000473178,0.000473178,0.000473178
51,73.3933,1.35388,1.39876,1.01482,0.42233,0.32466,0.32667,0.14466,1.87791,2.38269,1.21289,0.000459045,0.000459045,0.000459045
52,74.7208,1.42206,1.51813,1.08176,0.25417,0.2334,0.22817,0.11649,1.87521,2.44686,1.21997,0.000444912,0.000444912,0.000444912
53,76.0248,1.43622,1.4791,1.06334,0.26429,0.25405,0.23216,0.12061,1.86639,2.45843,1.21215,0.000430792,0.000430792,0.000430792
54,77.371,1.41453,1.4049,1.01718,0.45238,0.26472,0.30224,0.13607,1.79706,2.44877,1.20991,0.0004167,0.0004167,0.0004167
55,78.6657,1.39018,1.47851,1.03723,0.56931,0.26687,0.30763,0.13907,1.78806,2.43757,1.21175,0.000402651,0.000402651,0.000402651
56,79.9891,1.41107,1.3751,1.03377,0.35305,0.30307,0.28708,0.13962,1.80996,2.55691,1.19161,0.000388657,0.000388657,0.000388657
57,81.2674,1.29744,1.33329,0.98825,0.30545,0.31184,0.25783,0.11509,1.87341,2.58634,1.18579,0.000374732,0.000374732,0.000374732
58,82.6351,1.37522,1.4448,1.03607,0.26495,0.24574,0.23255,0.1131,1.98511,2.67803,1.21462,0.00036089,0.00036089,0.00036089
59,84.0029,1.41957,1.43666,1.04228,0.35359,0.18215,0.23832,0.11926,2.08673,2.64484,1.25308,0.000347146,0.000347146,0.000347146
60,85.3346,1.42332,1.37739,1.03627,0.46446,0.17664,0.26681,0.14125,2.00388,2.55956,1.2678,0.000333512,0.000333512,0.000333512
61,86.6948,1.36391,1.37115,1.01177,0.43704,0.19632,0.28447,0.16052,1.83085,2.45561,1.25497,0.000320001,0.000320001,0.000320001
62,88.0623,1.38022,1.33816,1.01668,0.47041,0.30225,0.34108,0.16569,1.80811,2.41811,1.27048,0.000306628,0.000306628,0.000306628
63,89.3895,1.33336,1.33489,0.99403,0.44651,0.2942,0.34774,0.16419,1.80799,2.43714,1.27116,0.000293406,0.000293406,0.000293406
64,90.7365,1.33442,1.28093,1.0154,0.38678,0.17172,0.25038,0.12929,1.88939,2.54694,1.25662,0.000280346,0.000280346,0.000280346
65,92.0631,1.3547,1.28,1.05778,0.48315,0.17237,0.22711,0.12354,1.98017,2.57099,1.27768,0.000267463,0.000267463,0.000267463
66,93.4077,1.35216,1.26012,1.00769,0.51727,0.17236,0.21647,0.12213,2.01426,2.61956,1.29637,0.00025477,0.00025477,0.00025477
67,94.7061,1.34223,1.27717,1.00301,0.62091,0.18056,0.21714,0.12607,1.96069,2.64114,1.27144,0.000242278,0.000242278,0.000242278
68,96.0255,1.30128,1.33175,1.00421,0.48727,0.14525,0.22463,0.12368,1.8411,2.49448,1.25187,0.000229999,0.000229999,0.000229999
69,97.3317,1.42094,1.37619,1.05674,0.56028,0.14168,0.22973,0.1297,1.85592,2.48251,1.25685,0.000217947,0.000217947,0.000217947
70,98.6005,1.3702,1.43317,1.04392,0.16506,0.23658,0.25089,0.13714,1.83073,2.48351,1.24761,0.000206133,0.000206133,0.000206133
71,99.9372,1.28838,1.19457,1.00035,0.59103,0.17792,0.23399,0.14229,1.83283,2.50623,1.2379,0.000194568,0.000194568,0.000194568
72,101.272,1.30473,1.22762,1.01606,0.57694,0.30105,0.29131,0.15165,1.79538,2.60451,1.22451,0.000183264,0.000183264,0.000183264
73,102.617,1.28266,1.23693,1.00493,0.53869,0.28259,0.29013,0.15365,1.78378,2.61637,1.22231,0.000172233,0.000172233,0.000172233
74,103.999,1.28293,1.22958,0.96407,0.52739,0.27706,0.28901,0.15511,1.76727,2.58802,1.21329,0.000161484,0.000161484,0.000161484
75,105.28,1.33358,1.35491,1.02517,0.56583,0.29136,0.29891,0.16065,1.74013,2.53105,1.19795,0.00015103,0.00015103,0.00015103
76,106.603,1.3502,1.2686,0.9939,0.60276,0.28568,0.31859,0.17132,1.70741,2.33852,1.19039,0.000140879,0.000140879,0.000140879
77,107.929,1.23389,1.1451,0.98424,0.60909,0.28684,0.31615,0.17109,1.72954,2.32295,1.19932,0.000131042,0.000131042,0.000131042
78,109.243,1.29266,1.24362,0.98532,0.56483,0.30037,0.32333,0.17403,1.75649,2.3308,1.21268,0.000121529,0.000121529,0.000121529
79,110.573,1.33797,1.2011,0.99898,0.65264,0.30351,0.33179,0.17866,1.74618,2.37559,1.21204,0.000112349,0.000112349,0.000112349
80,111.95,1.26876,1.25423,1.01799,0.72727,0.28979,0.32063,0.17228,1.72587,2.43798,1.21457,0.000103511,0.000103511,0.000103511
81,113.237,1.28173,1.19152,0.98737,0.77783,0.2726,0.31963,0.17376,1.69975,2.47038,1.2132,9.50238e-05,9.50238e-05,9.50238e-05
82,114.583,1.28799,1.15835,0.99285,0.78389,0.27122,0.31832,0.171,1.68304,2.50225,1.21464,8.6896e-05,8.6896e-05,8.6896e-05
83,115.846,1.24582,1.18847,0.98984,0.86229,0.25163,0.32144,0.17874,1.66203,2.49732,1.21263,7.91354e-05,7.91354e-05,7.91354e-05
84,117.176,1.2393,1.13418,0.99375,0.80056,0.24766,0.3253,0.18036,1.65524,2.51264,1.21093,7.17498e-05,7.17498e-05,7.17498e-05
85,118.508,1.23563,1.12384,0.97319,0.75513,0.27684,0.32756,0.19029,1.65435,2.5033,1.2119,6.47464e-05,6.47464e-05,6.47464e-05
86,119.831,1.23301,1.07432,0.97867,0.77054,0.28065,0.32998,0.18871,1.65666,2.48534,1.20795,5.81322e-05,5.81322e-05,5.81322e-05
87,121.142,1.28109,1.28596,1.00358,0.77708,0.2838,0.33263,0.18369,1.66402,2.46885,1.20863,5.19135e-05,5.19135e-05,5.19135e-05
88,122.489,1.29487,1.22445,1.02454,0.73838,0.2801,0.33541,0.17898,1.69272,2.45442,1.20792,4.60967e-05,4.60967e-05,4.60967e-05
89,123.785,1.21187,1.08953,0.96975,0.65663,0.29434,0.33549,0.17479,1.70395,2.45774,1.20776,4.06874e-05,4.06874e-05,4.06874e-05
90,125.073,1.1753,1.08292,0.97556,0.57327,0.29045,0.3322,0.16841,1.71301,2.44016,1.20597,3.5691e-05,3.5691e-05,3.5691e-05
91,155.306,1.23263,1.10032,0.96223,0.5648,0.29045,0.32924,0.16529,1.71965,2.44028,1.20302,3.11124e-05,3.11124e-05,3.11124e-05
92,157.191,1.14349,1.09187,0.96833,0.67909,0.29879,0.33379,0.15905,1.71714,2.43452,1.19736,2.69561e-05,2.69561e-05,2.69561e-05
93,158.763,1.05135,1.02514,0.92789,0.68199,0.29879,0.33439,0.15594,1.71046,2.4421,1.19819,2.32262e-05,2.32262e-05,2.32262e-05
94,160.163,1.13968,1.0889,0.95003,0.7023,0.29801,0.33246,0.1543,1.71927,2.44533,1.19555,1.99264e-05,1.99264e-05,1.99264e-05
95,161.439,1.06702,1.02437,0.94293,0.69409,0.28891,0.33075,0.15261,1.72766,2.45399,1.2011,1.70599e-05,1.70599e-05,1.70599e-05
96,162.73,1.14176,1.00804,0.95754,0.70941,0.2898,0.32321,0.14444,1.73108,2.45297,1.20031,1.46297e-05,1.46297e-05,1.46297e-05
97,163.977,1.07823,0.98545,0.92918,0.71281,0.28921,0.32128,0.14502,1.72522,2.45514,1.19931,1.2638e-05,1.2638e-05,1.2638e-05
98,165.234,1.10801,1.0253,0.93574,0.7136,0.28959,0.32037,0.14572,1.72496,2.45236,1.20085,1.10869e-05,1.10869e-05,1.10869e-05
99,166.53,1.10729,1.01785,0.95613,0.73767,0.29699,0.3367,0.1477,1.72109,2.45422,1.19871,9.97788e-06,9.97788e-06,9.97788e-06
100,167.883,1.09837,0.96754,0.96091,0.70945,0.28787,0.33129,0.14901,1.71155,2.46695,1.19187,9.31203e-06,9.31203e-06,9.31203e-06
