epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,58.591,1.53129,1.75021,1.07522,0.48287,0.15268,0.11946,0.05889,1.8263,3.64351,1.35223,0.000584578,0.000584578,0.000584578
43,59.8046,1.54423,1.7785,1.09869,0.44884,0.11647,0.11452,0.06085,1.74269,3.50295,1.2873,0.000570944,0.000570944,0.000570944
44,61.1646,1.40812,1.61561,1.0677,0.40816,0.13026,0.13386,0.078,1.83503,3.14838,1.28036,0.0005572,0.0005572,0.0005572
45,62.4583,1.52552,1.67329,1.08444,0.53664,0.12919,0.13692,0.06938,1.82962,3.17878,1.26244,0.000543358,0.000543358,0.000543358
46,63.7941,1.56532,1.72695,1.092,0.3451,0.23824,0.13483,0.05986,2.05897,3.34198,1.29608,0.000529433,0.000529433,0.000529433
47,65.0013,1.5014,1.61625,1.03894,0.3529,0.22105,0.16541,0.07861,1.97243,3.31282,1.25956,0.000515439,0.000515439,0.000515439
48,66.2344,1.46671,1.60576,1.07335,0.36226,0.27889,0.26981,0.15732,1.76594,2.83416,1.24565,0.00050139,0.00050139,0.00050139
49,67.473,1.3689,1.44953,1.041,0.46169,0.37049,0.31364,0.17765,1.71501,2.74743,1.23209,0.000487298,0.000487298,0.000487298
50,68.7494,1.42561,1.58632,1.06263,0.37217,0.21535,0.29844,0.16547,1.74629,2.84867,1.25041,0.000473178,0.000473178,0.000473178
51,69.9897,1.3878,1.4881,1.02942,0.36419,0.27152,0.26668,0.14844,1.74232,2.92964,1.25923,0.000459045,0.000459045,0.000459045
52,71.2295,1.36213,1.48204,1.03908,0.33805,0.24515,0.25399,0.13874,1.72364,2.79933,1.228,0.000444912,0.000444912,0.000444912
53,72.4432,1.40481,1.51488,1.06133,0.30485,0.24207,0.22714,0.12754,1.71249,2.71099,1.2099,0.000430792,0.000430792,0.000430792
54,73.67,1.38516,1.43837,1.01006,0.23885,0.23173,0.23924,0.12869,1.76306,2.69407,1.21026,0.0004167,0.0004167,0.0004167
55,74.8984,1.34322,1.41887,1.01167,0.37687,0.22047,0.22707,0.12596,1.76296,2.67759,1.20734,0.000402651,0.000402651,0.000402651
56,76.1126,1.36152,1.40396,1.02958,0.45668,0.18126,0.23926,0.11854,1.74037,2.97247,1.21801,0.000388657,0.000388657,0.000388657
57,77.3842,1.41618,1.41136,1.03056,0.4594,0.20739,0.24349,0.12126,1.7584,3.0621,1.22314,0.000374732,0.000374732,0.000374732
58,78.5977,1.32003,1.39417,1.005,0.43049,0.21155,0.23044,0.11823,1.75774,2.94376,1.20906,0.00036089,0.00036089,0.00036089
59,79.8047,1.36439,1.42484,1.05063,0.2853,0.21063,0.23641,0.12088,1.75296,2.76363,1.20293,0.000347146,0.000347146,0.000347146
60,81.0096,1.33682,1.38545,1.02519,0.47813,0.18071,0.27157,0.15771,1.80918,2.59211,1.21441,0.000333512,0.000333512,0.000333512
61,82.2334,1.38182,1.33937,1.04025,0.49387,0.18507,0.30001,0.15548,1.81254,2.63162,1.22688,0.000320001,0.000320001,0.000320001
62,83.4155,1.32535,1.28589,1.00995,0.31098,0.31204,0.28217,0.14997,1.78413,2.69194,1.22815,0.000306628,0.000306628,0.000306628
63,84.6074,1.33025,1.32376,0.99849,0.40406,0.29752,0.27854,0.15037,1.76736,2.73103,1.22332,0.000293406,0.000293406,0.000293406
64,85.8258,1.33223,1.33195,1.01085,0.3215,0.22913,0.26609,0.14615,1.81375,2.6352,1.19367,0.000280346,0.000280346,0.000280346
65,87.0506,1.35042,1.38747,1.03985,0.26986,0.23738,0.28477,0.15792,1.781,2.59417,1.17348,0.000267463,0.000267463,0.000267463
66,88.2937,1.37233,1.2751,1.03245,0.4042,0.20229,0.3101,0.17186,1.71245,2.54507,1.16449,0.00025477,0.00025477,0.00025477
67,89.4771,1.30166,1.27659,1.00503,0.22224,0.33704,0.32949,0.18958,1.6439,2.55181,1.16533,0.000242278,0.000242278,0.000242278
68,90.7059,1.2806,1.30141,0.99979,0.29792,0.41599,0.33696,0.18779,1.60764,2.52325,1.16331,0.000229999,0.000229999,0.000229999
69,91.883,1.38486,1.41372,1.04326,0.27268,0.34582,0.34132,0.19266,1.61672,2.46901,1.16708,0.000217947,0.000217947,0.000217947
70,93.1444,1.35963,1.34991,1.03326,0.30554,0.41125,0.34548,0.20429,1.62203,2.42391,1.1684,0.000206133,0.000206133,0.000206133
71,94.4434,1.28101,1.2273,0.9884,0.30506,0.40229,0.34901,0.20476,1.63891,2.37777,1.1654,0.000194568,0.000194568,0.000194568
72,95.6956,1.31851,1.30682,1.02476,0.29645,0.48219,0.34199,0.18745,1.62865,2.40775,1.15769,0.000183264,0.000183264,0.000183264
73,96.8964,1.25501,1.252,1.02229,0.26692,0.39016,0.34102,0.18469,1.61956,2.44853,1.16331,0.000172233,0.000172233,0.000172233
74,98.1105,1.31341,1.30563,1.02869,0.26084,0.36439,0.31993,0.1712,1.62193,2.49164,1.17442,0.000161484,0.000161484,0.000161484
75,99.276,1.32522,1.37322,1.03793,0.23495,0.29305,0.30657,0.16459,1.6382,2.54113,1.18068,0.00015103,0.00015103,0.00015103
76,100.47,1.28021,1.27245,0.99502,0.2432,0.34922,0.29332,0.1513,1.64815,2.57355,1.1926,0.000140879,0.000140879,0.000140879
77,101.682,1.23593,1.17746,0.98297,0.24483,0.34146,0.30577,0.16123,1.61499,2.53471,1.18515,0.000131042,0.000131042,0.000131042
78,102.92,1.30467,1.21081,0.98548,0.20396,0.27949,0.30884,0.1651,1.59518,2.53268,1.18145,0.000121529,0.000121529,0.000121529
79,104.129,1.34224,1.24089,1.00224,0.46132,0.21312,0.30879,0.16102,1.59933,2.54955,1.18222,0.000112349,0.000112349,0.000112349
80,105.389,1.31848,1.25748,0.99691,0.23592,0.26485,0.28548,0.15096,1.6781,2.60301,1.20092,0.000103511,0.000103511,0.000103511
81,106.695,1.30602,1.21291,0.97912,0.37864,0.2087,0.28716,0.15298,1.70184,2.6236,1.20203,9.50238e-05,9.50238e-05,9.50238e-05
82,107.988,1.24032,1.13249,0.97081,0.36591,0.21063,0.28543,0.14925,1.72202,2.65232,1.20382,8.6896e-05,8.6896e-05,8.6896e-05
83,109.217,1.34847,1.28133,1.01941,0.28633,0.24665,0.28452,0.14628,1.74303,2.68342,1.20283,7.91354e-05,7.91354e-05,7.91354e-05
84,110.553,1.18988,1.08563,0.9641,0.39301,0.21063,0.28124,0.14622,1.75639,2.65539,1.20503,7.17498e-05,7.17498e-05,7.17498e-05
85,111.826,1.19593,1.10179,0.97775,0.27637,0.23694,0.2823,0.15019,1.73736,2.64163,1.20395,6.47464e-05,6.47464e-05,6.47464e-05
86,113.053,1.20156,1.10247,0.97136,0.29182,0.23012,0.28371,0.1536,1.72747,2.61409,1.2055,5.81322e-05,5.81322e-05,5.81322e-05
87,114.316,1.29789,1.25934,1.00097,0.60907,0.17196,0.2912,0.16112,1.71855,2.57698,1.20485,5.19135e-05,5.19135e-05,5.19135e-05
88,115.576,1.29056,1.22652,1.02929,0.62298,0.17034,0.29031,0.1652,1.69441,2.53834,1.20401,4.60967e-05,4.60967e-05,4.60967e-05
89,116.835,1.19537,1.07447,0.9734,0.60464,0.17,0.28971,0.16589,1.68966,2.52805,1.20611,4.06874e-05,4.06874e-05,4.06874e-05
90,118.134,1.19095,1.11005,0.96702,0.58076,0.17027,0.2883,0.16698,1.69369,2.52215,1.2063,3.5691e-05,3.5691e-05,3.5691e-05
91,147.005,1.20886,1.08342,0.96072,0.51615,0.17211,0.29275,0.16938,1.70634,2.50316,1.2079,3.11124e-05,3.11124e-05,3.11124e-05
92,148.331,1.13815,1.06402,0.96176,0.53132,0.17181,0.2929,0.16402,1.75701,2.497,1.2174,2.69561e-05,2.69561e-05,2.69561e-05
93,149.514,1.06504,0.97237,0.92359,0.54813,0.1712,0.28873,0.16312,1.80041,2.51089,1.22516,2.32262e-05,2.32262e-05,2.32262e-05
94,150.676,1.15254,1.11188,0.97008,0.54467,0.17303,0.29038,0.16178,1.82012,2.50934,1.23307,1.99264e-05,1.99264e-05,1.99264e-05
95,151.859,1.09475,1.04432,0.94728,0.52912,0.16349,0.28328,0.15855,1.82784,2.49813,1.23457,1.70599e-05,1.70599e-05,1.70599e-05
96,153.069,1.1418,0.9947,0.94391,0.53715,0.16797,0.28297,0.15979,1.83332,2.44307,1.2397,1.46297e-05,1.46297e-05,1.46297e-05
97,154.249,1.09169,1.02747,0.94583,0.53106,0.16032,0.28623,0.15936,1.82865,2.43839,1.23963,1.2638e-05,1.2638e-05,1.2638e-05
98,155.438,1.10767,1.00873,0.94951,0.27811,0.32579,0.2873,0.15967,1.8439,2.42894,1.24422,1.10869e-05,1.10869e-05,1.10869e-05
99,156.611,1.11245,1.01592,0.95715,0.29904,0.32291,0.28694,0.15861,1.84872,2.41992,1.24453,9.97788e-06,9.97788e-06,9.97788e-06
100,157.838,1.08596,0.97424,0.95892,0.27469,0.30707,0.28053,0.15452,1.8656,2.40217,1.25,9.31203e-06,9.31203e-06,9.31203e-06
